Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount received""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:50:59,2024-02-26 11:50:59,0.134s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD "" + roundedNumber1]), 5, CONTINUE_ON_FAILURE)",,Verify the Conversion Amount USD,,2024-02-26 11:50:59,2024-02-26 11:50:59,0.127s,PASSED
takeScreenshot(),,,,2024-02-26 11:50:59,2024-02-26 11:51:00,0.397s,PASSED
"tap(findTestObject(""Market Order Page/android.widget.ImageViewBack_Button""), 0, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:51:00,2024-02-26 11:51:00,0.192s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:51:00,2024-02-26 11:51:01,1.118s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:51:01,2024-02-26 11:51:01,0.107s,PASSED
takeScreenshot(),,,,2024-02-26 11:51:01,2024-02-26 11:51:02,0.350s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Done""]), 0, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:51:02,2024-02-26 11:51:02,0.108s,PASSED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/SOW2 - Current account to G1A Account,,,,2024-02-26 11:51:02,2024-02-26 11:53:09,2m - 7.233s,FAILED
a = 8,,,,2024-02-26 11:51:02,2024-02-26 11:51:02,0.000s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":findTestData(""Username_Password"").getValue(""G1A_Account_No"", a)]), 0, CONTINUE_ON_FAILURE)",,Select G1A Account,,2024-02-26 11:51:02,2024-02-26 11:51:03,0.618s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Convert Currency""]), 0, CONTINUE_ON_FAILURE)",,Tap on Convert Currency,,2024-02-26 11:51:03,2024-02-26 11:51:03,0.145s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-02-26 11:51:03,2024-02-26 11:51:33,30.047s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-02-26 11:51:33,2024-02-26 11:51:33,0.001s,PASSED
else,,,,2024-02-26 11:51:33,2024-02-26 11:51:33,0.001s,PASSED
delay(5),,,,2024-02-26 11:51:33,2024-02-26 11:51:38,5.018s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-02-26 11:51:38,2024-02-26 11:51:38,0.207s,PASSED
"digits = ""1000""",,,,2024-02-26 11:51:38,2024-02-26 11:51:38,0.000s,PASSED
currency_Numpad(digits),,,,2024-02-26 11:51:38,2024-02-26 11:51:38,0.005s,PASSED
digit_length = digits.length(),,,,2024-02-26 11:51:38,2024-02-26 11:51:38,0.001s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-02-26 11:51:38,2024-02-26 11:51:59,20.425s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-02-26 11:51:59,2024-02-26 11:52:04,5.126s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-02-26 11:52:04,2024-02-26 11:52:08,4.363s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:08,2024-02-26 11:52:08,0.103s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:08,2024-02-26 11:52:08,0.073s,PASSED
"currency_TextMsg = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:08,2024-02-26 11:52:08,0.074s,PASSED
"roundedNumber = Validation.staffConvertUSDToMYR(currency_TextMsg, 10.00)",,,,2024-02-26 11:52:08,2024-02-26 11:52:08,0.008s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Conversion fee""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:08,2024-02-26 11:52:08,0.090s,PASSED
"Conversion_Fee = getText(findTestObject(""SOW2-Market Order/ConversionFee_Text""), 5, CONTINUE_ON_FAILURE)",,get Conversion Fee,,2024-02-26 11:52:08,2024-02-26 11:52:09,0.090s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Total to pay""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:09,2024-02-26 11:52:09,0.076s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""MYR 10.00""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:09,2024-02-26 11:52:09,0.073s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount to receive""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:09,2024-02-26 11:52:09,0.064s,PASSED
"verifyElementExist(findTestObject(""General/android.widget.EditText _AmountReceived"", [""text"":roundedNumber]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:09,2024-02-26 11:52:09,0.072s,PASSED
takeScreenshot(),,,,2024-02-26 11:52:09,2024-02-26 11:52:09,0.424s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Next""]), 0, CONTINUE_ON_FAILURE)",,Tap Next,,2024-02-26 11:52:09,2024-02-26 11:52:09,0.157s,PASSED
"swipe(450, 884, 0, 884, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:09,2024-02-26 11:52:11,1.265s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Current Account-i (MYR)""]), 0, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:11,2024-02-26 11:52:12,0.949s,PASSED
takeScreenshot(),,,,2024-02-26 11:52:12,2024-02-26 11:52:12,0.386s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Get Quote""]), 0, CONTINUE_ON_FAILURE)",,Tap to get qoute,,2024-02-26 11:52:12,2024-02-26 11:52:13,0.773s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Confirmation""]), 5, CONTINUE_ON_FAILURE)",,Wait for confirmation page to show,,2024-02-26 11:52:13,2024-02-26 11:52:13,0.674s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Confirmation""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:13,2024-02-26 11:52:14,0.161s,PASSED
"currency_TextMsg1 = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:14,2024-02-26 11:52:15,0.952s,PASSED
"roundedNumber1 = Validation.staffConvertUSDToMYR(currency_TextMsg1, 10.00)",,,,2024-02-26 11:52:15,2024-02-26 11:52:15,0.016s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:15,2024-02-26 11:52:15,0.109s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Current Account-i (MYR)""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:15,2024-02-26 11:52:15,0.081s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer to""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:15,2024-02-26 11:52:15,0.084s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (USD)""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:15,2024-02-26 11:52:15,0.084s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount to receive""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:15,2024-02-26 11:52:16,0.728s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD "" + roundedNumber1]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:16,2024-02-26 11:52:16,0.107s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction type""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:16,2024-02-26 11:52:16,0.098s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Conversion""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:16,2024-02-26 11:52:16,0.083s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""I have read and agree to the BNM Foreign Exchange Rules, I accept the declaration as well as the Terms & Conditions for this transfer.""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:16,2024-02-26 11:52:22,5.708s,FAILED
takeScreenshot(CONTINUE_ON_FAILURE),,,,2024-02-26 11:52:22,2024-02-26 11:52:22,0.396s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.view.View - I have read and agree to the BNM Foreign Exchange Rules, I accept the declaration as well as the Terms  Conditions for this transfer""), 0, CONTINUE_ON_FAILURE)",,Confirm Term & Condition,,2024-02-26 11:52:22,2024-02-26 11:52:23,0.679s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-02-26 11:52:23,2024-02-26 11:52:29,6.615s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Confirm""]), 0, CONTINUE_ON_FAILURE)",,Tap Confirm,,2024-02-26 11:52:29,2024-02-26 11:52:30,0.345s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,Transaction Successful page,,2024-02-26 11:52:30,2024-02-26 11:52:37,7.545s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:37,2024-02-26 11:52:37,0.103s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Reference ID""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:37,2024-02-26 11:52:37,0.075s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Order ID""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:37,2024-02-26 11:52:37,0.071s,PASSED
"reference_id = getText(findTestObject(""Market Order Page/android.widget.TextView - Reference ID""), 5, CONTINUE_ON_FAILURE)",,Get ReferenceID,,2024-02-26 11:52:37,2024-02-26 11:52:38,0.079s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Order ID""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:38,2024-02-26 11:52:38,0.074s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Date & time""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:38,2024-02-26 11:52:38,0.076s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Converted from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-02-26 11:52:38,2024-02-26 11:52:38,0.077s,PASSED
